X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
-73.9724063986771,40.7705711897977,7F-PM-1012-01,07F,PM,10122018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,true,false,false,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9724063986771 40.7705711897977)
-73.9661361310677,40.7787872561177,18G-PM-1013-01,18G,PM,10132018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,false,false,false,true,true,burying,false,false,false,false,false,false,false,true,,POINT (-73.9661361310677 40.7787872561177)
-73.9730750601212,40.7701304211944,6F-PM-1008-01,06F,PM,10082018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,10,,false,true,false,false,false,,false,false,false,false,false,false,false,false,,POINT (-73.9730750601212 40.7701304211944)
-73.971970670614,40.7720868124544,9F-AM-1013-04,09F,AM,10132018,4,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,false,false,,POINT (-73.971970670614 40.7720868124544)
-73.95621174551,40.7951044378207,38E-AM-1010-09,38E,AM,10102018,9,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.95621174551 40.7951044378207)
-73.9564023626619,40.7905423546155,33G-AM-1013-02,33G,AM,10132018,2,Adult,Gray,,Gray+,,Above Ground,13,shelter in hole in tree,false,false,true,false,false,,false,false,false,false,false,false,true,true,,POINT (-73.9564023626619 40.7905423546155)
-73.9532620128307,40.7952475548048,39G-AM-1018-01,39G,AM,10182018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,false,false,dead (something ran over it),false,false,false,false,false,false,false,false,,POINT (-73.9532620128307 40.7952475548048)
-73.9576349321357,40.7904409912437,32G-PM-1013-03,32G,PM,10132018,3,Juvenile,Gray,Cinnamon,Gray+Cinnamon,Cinnamon belly,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9576349321357 40.7904409912437)
-73.9763430829342,40.7686351097159,4D-PM-1008-11,04D,PM,10082018,11,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Above Ground,3,on tree facing downward,false,true,false,false,false,chased #12,true,false,false,true,false,false,false,true,,POINT (-73.9763430829342 40.7686351097159)
-73.9714789136757,40.7694886645194,6H-AM-1008-01,06H,AM,10082018,1,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,false,false,false,true,false,,false,false,false,false,false,false,false,false,,POINT (-73.9714789136757 40.7694886645194)
-73.9755133710665,40.7697883435981,5E-AM-1008-08,05E,AM,10082018,8,Adult,Gray,,Gray+,,Ground Plane,FALSE,,true,false,false,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9755133710665 40.7697883435981)
-73.9702348982803,40.7773295419104,15D-PM-1017-01,15D,PM,10172018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9702348982803 40.7773295419104)
-73.9686056085297,40.7781658424866,16E-AM-1014-03,16E,AM,10142018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,true,true,,false,false,false,false,false,true,false,false,,POINT (-73.9686056085297 40.7781658424866)
-73.9522142360388,40.7949598486683,39H-PM-1013-02,39H,PM,10132018,2,Juvenile,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,true,false,true,false,,POINT (-73.9522142360388 40.7949598486683)
-73.9576589997493,40.7972751877447,39C-PM-1006-02,39C,PM,10062018,2,Adult,Gray,,Gray+,,Above Ground,50,,false,false,true,false,false,,false,false,false,false,false,false,false,false,unaware of,POINT (-73.95765899974931 40.7972751877447)
-73.9637946878735,40.7915700446878,31A-AM-1010-04,31A,AM,10102018,4,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,true,false,false,false,,POINT (-73.9637946878735 40.7915700446878)
-73.9710991123992,40.7723889726647,9F-PM-1014-02,09F,PM,10142018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,true,false,,false,false,false,false,false,false,true,false,,POINT (-73.9710991123992 40.7723889726647)
-73.9638270331336,40.7810450065235,21G-PM-1007-02,21G,PM,10072018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,,false,false,false,true,false,,false,false,false,true,false,false,false,true,,POINT (-73.9638270331336 40.7810450065235)
-73.9756015005821,40.7670090327736,2F-AM-1006-01,02F,AM,10062018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,walking along path,false,false,false,false,true,,false,false,false,false,true,false,true,false,,POINT (-73.97560150058212 40.7670090327736)
-73.9649632550828,40.7809187761995,20F-PM-1007-01,20F,PM,10072018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,cinnamon tail,Ground Plane,FALSE,,false,false,false,true,true,,false,false,false,false,true,false,true,false,,POINT (-73.9649632550828 40.7809187761995)
-73.957219204335,40.7931529059779,35E-PM-1006-01,35E,PM,10062018,1,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,true,false,false,looking/begging for food,POINT (-73.957219204335 40.7931529059779)
-73.9712308864394,40.7714534847379,9G-AM-1007-04,09G,AM,10072018,4,Adult,Gray,White,Gray+White,,Above Ground,15,,false,false,false,false,false,grooming,false,false,false,false,false,false,true,false,,POINT (-73.9712308864394 40.7714534847379)
-73.9758676144255,40.7701671581939,5D-PM-1018-03,05D,PM,10182018,3,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9758676144255 40.7701671581939)
-73.969058856545,40.7766356226979,14F-PM-1012-06,14F,PM,10122018,6,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,false,false,false,true,true,,false,false,false,false,true,false,true,false,,POINT (-73.969058856545 40.7766356226979)
-73.963846339804,40.7834051716226,23F-AM-1018-01,23F,AM,10182018,1,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,30,,false,false,true,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.963846339804 40.7834051716226)
-73.9597642778427,40.7976368003915,39A-PM-1014-02,39A,PM,10142018,2,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,false,true,false,false,false,,false,false,false,false,false,false,false,false,,POINT (-73.9597642778427 40.7976368003915)
-73.9745691353018,40.7771035589298,13A-PM-1014-03,13A,PM,10142018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,6,,false,false,true,false,false,,false,false,false,false,false,false,false,true,child chasing,POINT (-73.9745691353018 40.7771035589298)
-73.9748706415584,40.7744174965072,10B-AM-1006-02,10B,AM,10062018,2,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,,High in a tree,false,false,true,false,false,,false,false,false,false,false,false,true,false,,POINT (-73.9748706415584 40.7744174965072)
-73.9597205966324,40.7969409510133,38B-AM-1019-01,38B,AM,10192018,1,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,true,false,false,false,false,,false,false,false,false,false,false,false,true,,POINT (-73.9597205966324 40.7969409510133)
-73.971086588091,40.7719703235178,9G-PM-1007-06,09G,PM,10072018,6,Adult,Gray,,Gray+,,Ground Plane,FALSE,,false,false,false,true,false,,false,false,false,false,false,false,false,false,,POINT (-73.971086588091 40.7719703235178)
-73.958535640774,40.7982737896998,40B-AM-1019-02,40B,AM,10192018,2,Juvenile,Gray,White,Gray+White,,Ground Plane,FALSE,,true,true,false,false,false,,false,false,false,false,true,false,false,false,,POINT (-73.958535640774 40.7982737896998)
-73.958770180151,40.7934123941528,35D-PM-1013-04,35D,PM,10132018,4,Juvenile,Gray,White,Gray+White,,,,,false,false,false,false,false,,false,false,false,false,false,false,false,false,,POINT (-73.958770180151 40.7934123941528)
-73.9707274055755,40.7723889080377,10G-PM-1017-10,10G,PM,10172018,10,Adult,Gray,,Gray+,,Ground Plane,FALSE,,false,true,false,false,false,playing (with #9),false,false,false,false,false,false,true,false,,POINT (-73.9707274055755 40.7723889080377)
-73.9720065066618,40.7764043782924,13C-AM-1010-04,13C,AM,10102018,4,Adult,Gray,,Gray+,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,true,false,true,false,,POINT (-73.9720065066618 40.7764043782924)
-73.9618064639153,40.792158440043,32C-PM-1013-12,32C,PM,10132018,12,Adult,Gray,,Gray+,,Ground Plane,FALSE,,true,false,false,false,true,,false,false,false,false,true,true,false,false,,POINT (-73.9618064639153 40.792158440043)
-73.9554432393295,40.7945669054449,37F-PM-1014-01,37F,PM,10142018,1,,Gray,,Gray+,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,false,true,,POINT (-73.9554432393295 40.7945669054449)
-73.9613780522542,40.790786197111,31D-PM-1006-04,31D,PM,10062018,4,Adult,Gray,,Gray+,,Above Ground,30,,false,false,false,true,false,,false,false,false,false,false,false,true,false,,POINT (-73.9613780522542 40.790786197111)
-73.9646901432328,40.775995869679,15I-PM-1012-03,15I,PM,10122018,3,Adult,Gray,,Gray+,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,false,false,,POINT (-73.9646901432328 40.775995869679)
-73.9690828325179,40.7818038172275,19C-PM-1018-04,19C,PM,10182018,4,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,false,false,,POINT (-73.9690828325179 40.7818038172275)
-73.9708775864433,40.772473633538,10F-PM-1019-12,10F,PM,10192018,12,Adult,Black,White,Black+White,,Ground Plane,FALSE,,true,false,false,false,true,,false,false,false,false,false,false,false,true,,POINT (-73.9708775864433 40.772473633538)
-73.9691050656013,40.7808139538222,18C-PM-1018-01,18C,PM,10182018,1,,Black,,Black+,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9691050656013 40.7808139538222)
